,spotify_id,youtube_id,project_name,artist,project_type,tracks,project_art,year,rating
0,1B5Lwt0D1ZetRreaCBYobP,GMKfsj1fg5g,all day,girl talk,album,14.0,https://i.scdn.co/image/ab67616d000048510192ca742faf3f8dffa36f6b,2008.0,8.0
1,20r762YmB5HeofjMCiPMLv,Jo4S2qlQGs0,my beautiful dark twisted fantasy,kanye west,album,13.0,https://i.scdn.co/image/ab67616d00004851d9194aa18fa4c9362b47464f,2010.0,6.0
2,35tQBmq1RblVUzAvfsw5uO,AyzpDXRVbwA,scary monsters and nice sprites,skrillex,ep,9.0,https://i.scdn.co/image/ab67616d0000485181cfaf3b1359f7b579ea05e5,2010.0,7.0
3,0X7WyEKdm5afGj1fmD7Blx,lVj-lS3bfUc,broken bells,broken bells,ep,10.0,https://i.scdn.co/image/ab67616d00004851e198b6b9c5bfe013458e8ec9,2010.0,5.0
4,5zi7WsKlIiUXv09tbGLKsE,_2RPGAA6p4E,bastard,"tyler, the creator",album,12.0,https://i.scdn.co/image/ab67616d000048517005885df706891a3c182a57,2019.0,7.0
5,1JvYBgt86ujXdSWnuw5lhX,EZOQBqCPQHc,777 volume one,tonetta,album,1.0,https://i.scdn.co/image/ab67616d000048513f5f2cae34a68b19c7e4d9de,2022.0,6.0
6,6bdtdT3obm7tppjz22SpOY,S0igfnHzYwM,"""not in love"" ft. robert smith",crystal castles,track,8.0,https://i.scdn.co/image/ab67616d00004851530e5a8e7c66997fb8606251,2021.0,9.0
7,53mU2L8Ngi8zFAD9JoXNqx,LwDNWYvFpYs,sex dreams and denim jeans,uffie,album,16.0,https://i.scdn.co/image/ab67616d000048515159e678415b36f835c78a71,2010.0,2.0
8,7Mn0aXVHjaoFZPKLssqI9d,Q8Jp4U2BBnI,king of the beach,wavves,album,12.0,https://i.scdn.co/image/ab67616d0000485164dcf615a9526ff14bf63bcd,2010.0,8.0
9,0C4ZMhVs0I7bHbRdsBWpDV,z1ahI9rAFgU,unsilent death,nails,album,15.0,https://i.scdn.co/image/ab67616d00004851b77a890c674d5ccae602b1de,2010.0,9.0
10,5xFZ4iElFbUFtOGX4lvdTM,xBxvMXOjHM4,come around sundown,kings of leon,album,16.0,https://i.scdn.co/image/ab67616d00004851496ed45f8f3dddaf410fd86e,2010.0,4.0
11,3a3Yp0PRguSTH3dBOeWRyZ,LP-Vdm27vS4,halcyon digest,deerhunter,album,11.0,https://i.scdn.co/image/ab67616d00004851d309cdaf6a4b22a4d80ef343,2010.0,8.0
12,0EnWvHwRBK7Eil1avu5EM7,NJ7htMtCxcI,"""bloodbuzz ohio""",the national,track,1.0,https://i.scdn.co/image/ab67616d00004851897b3865030a0b003dbf14d2,2010.0,7.0
13,7HJSVyFzG1sM02weSAqhdH,II-Dj_gtRL4,self-titled,crystal castles,track,17.0,https://i.scdn.co/image/ab67616d00004851ceb24a1906254750e82c1db7,2008.0,7.0
14,2mhR354QT8ZqRI5Q4BPBEB,QNRGDeXpnvU,belus,burzum,track,8.0,https://i.scdn.co/image/ab67616d000048515fa5640bc8626d5aa9e2267d,2010.0,4.0
15,6LXxaLlPn935COOJwB2wCV,qMsnKVtohy0,public strain,women,album,11.0,https://i.scdn.co/image/ab67616d000048514eaed969fcd718c0f837cec3,2010.0,9.0
16,3dcmZHKltpczLFzFUNuctN,aVZ9A4Ehw_g,senior,röyksopp,album,10.0,https://i.scdn.co/image/ab67616d0000485152fec865237eb2d439808632,2010.0,5.0
17,3HA1Ru1gEAgaxTywkJmBOL,G6koCbQeg94,congratulations,mgmt,album,9.0,https://i.scdn.co/image/ab67616d00004851a38f4c1b8f53a2f792ffb561,2010.0,8.0
18,6mxbG8KrOTZIxlP4gzaliM,ynE0NztYvoc,raw power,iggy and the stooges,album,8.0,https://i.scdn.co/image/ab67616d000048518bced1064027c32db4b01f6e,1973.0,5.0
19,4hnqM0JK4CM1phwfq1Ldyz,3Hbhb5CGEB0,this is happening,lcd soundsystem,album,9.0,https://i.scdn.co/image/ab67616d00004851ee0d0dce888c6c8a70db6e8b,2010.0,9.0
